Div,Date,HomeTeam,AwayTeam,ScoreHome,ScoreAway,Winner,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,yellowhome,yellowAway,RedHome,RedAway.
F1,17/09/2016,Nancy,Nantes,1,1,N,0,0,D,9,14,2,5,10,18,2,2,0,0,0,0
F1,17/09/2016,Toulouse,Guingamp,2,1,Toulouse,0,0,D,13,5,5,3,18,11,8,1,4,3,0,1,2
F1,18/09/2016,Marseille,Lyon,0,0,N,0,0,D,13,14,2,1,16,12,6,1,3,2,0,0
F1,18/09/2016,Montpellier,Nice,1,1,N,0,0,D,15,9,5,4,18,12,6,3,1,1,0,0
F1,18/09/2016,St Etienne,Bastia,1,0,St Etienne,0,0,D,13,9,3,3,19,11,4,4,2,4,0,0
F1,20/09/2016,Lille,Toulouse,1,2,Toulouse,1,1,D,19,7,5,2,13,21,5,3,2,5,0,0
F1,20/09/2016,Paris SG,Dijon,3,0,Paris SG,2,0,H,8,8,4,4,8,7,5,4,1,0,0,0
F1,21/09/2016,Angers,Caen,2,1,Angers,1,0,H,13,6,5,1,12,11,1,4,0,1,0,0
F1,21/09/2016,Bastia,Nancy,0,0,N,0,0,D,10,4,5,2,12,19,5,3,0,0,0,0
F1,21/09/2016,Guingamp,Lorient,1,0,Guingamp,0,0,D,8,13,4,3,10,14,4,7,1,2,0,0
F1,21/09/2016,Lyon,Montpellier,5,1,Lyon,2,1,H,16,8,8,2,10,15,11,1,0,1,0,1
F1,21/09/2016,Metz,Bordeaux,0,3,Bordeaux,0,1,A,12,20,4,7,16,4,1,6,2,0,0,0
F1,21/09/2016,Nantes,St Etienne,0,0,N,0,0,D,17,6,6,0,16,14,6,2,4,0,0,1
F1,21/09/2016,Nice,Monaco,4,0,Nice,2,0,H,9,17,7,7,12,16,2,6,1,1,0,1
F1,21/09/2016,Rennes,Marseille,3,2,Rennes,1,1,D,13,8,5,4,11,24,4,4,1,1,0,1
F1,23/09/2016,Toulouse,Paris SG,2,0,Toulouse,0,0,D,11,12,3,3,12,11,3,7,3,1,0,1
F1,24/09/2016,Bastia,Guingamp,1,0,Bastia,0,0,D,11,3,6,3,17,17,5,1,1,1,1,1
F1,24/09/2016,Bordeaux,Caen,0,0,N,0,0,D,12,13,2,4,7,16,4,5,0,2,0,0
F1,24/09/2016,Dijon,Rennes,3,0,Dijon,2,0,H,15,19,5,4,7,12,7,3,1,1,0,0
F1,24/09/2016,Lorient,Lyon,1,0,Lorient,0,0,D,11,18,2,8,13,8,3,8,2,1,0,0
F1,24/09/2016,Monaco,Angers,2,1,Monaco,0,0,D,13,11,4,4,10,9,12,7,1,1,0,0
F1,24/09/2016,Montpellier,Metz,0,1,Metz,0,1,A,16,4,2,3,14,20,7,5,2,3,0,0
F1,25/09/2016,Marseille,Nantes,2,1,Marseille,1,1,D,14,13,5,4,13,17,5,5,1,3,0,0,2
F1,25/09/2016,Nancy,Nice,0,1,Nice,0,0,D,15,13,0,4,17,16,6,2,3,1,0,0
F1,25/09/2016,St Etienne,Lille,3,1,St Etienne,0,0,D,9,12,3,3,17,15,4,5,3,1,0,1
